,Date,Utilities,High,Low,Close,Adj Close,Volume
0,2021-04-01,42.990002,44.299999,39.240002,39.290001,35.635056,7150600
1,2021-05-01,39.369999,40.779999,34.549999,39.77,36.0704,8077100
2,2021-06-01,39.830002,40.509998,36.380001,38.57,35.246864,6723700
3,2021-07-01,38.75,40.360001,35.610001,39.32,35.932251,4830300
4,2021-08-01,39.299999,40.91,37.5,40.52,37.028854,3907900
5,2021-09-01,40.549999,41.77,36.509998,36.91,33.983032,6565400
6,2021-10-01,37.009998,40.68,35.43,40.099998,36.920059,7147000
7,2021-11-01,40.0,40.860001,35.41,36.299999,33.421402,5475400
8,2021-12-01,36.5,36.610001,32.849998,35.790001,33.233585,10510800
9,2022-01-01,36.09,36.240002,30.93,33.549999,31.15358,11128500
10,2022-02-01,33.639999,36.040001,31.67,35.919998,33.354298,7365300
11,2022-03-01,36.220001,41.66,35.709999,41.07,38.494949,9900200
12,2022-04-01,41.290001,41.950001,35.049999,35.200001,32.992996,6433600
13,2022-05-01,35.02,37.25,33.060001,35.580002,33.349171,7402500
14,2022-06-01,35.720001,36.889999,32.779999,34.799999,32.904751,5125600
15,2022-07-01,34.950001,38.130001,33.68,37.75,35.694088,3947100
16,2022-08-01,37.610001,41.299999,37.0,37.209999,35.183495,4561100
17,2022-09-01,37.0,38.610001,30.85,31.299999,29.846834,6703500
18,2022-10-01,31.74,32.849998,27.32,29.18,27.825262,7244700
19,2022-11-01,29.43,31.33,27.67,28.290001,26.976583,7028800
20,2022-12-01,28.280001,29.360001,24.129999,25.34,24.433998,12944800
21,2023-01-01,25.5,29.620001,25.5,29.15,28.107775,5242100
22,2023-02-01,29.209999,29.209999,26.1,26.120001,25.18611,6144400
23,2023-03-01,26.110001,31.6,25.790001,31.51,30.773252,8971900
24,2023-04-01,31.65,31.82,29.73,31.0,30.275177,3634200
25,2023-05-01,30.950001,32.759998,29.18,30.32,29.611074,4245600
26,2023-06-01,30.26,32.279999,28.57,29.49,29.117239,7226400
27,2023-07-01,29.389999,30.32,28.219999,29.15,28.781536,3723700
28,2023-08-01,29.0,29.129999,25.370001,25.42,25.098684,6024300
29,2023-09-01,25.42,26.4,21.459999,21.74,21.74,13649000
30,2023-10-01,21.9,23.139999,19.969999,20.959999,20.959999,16342000
31,2023-11-01,20.959999,25.23,20.91,24.58,24.58,8424400
32,2023-11-28,24.5,25.190001,24.610001,24.99,24.99,359049
