,Date,Real Estate,High,Low,Close,Adj Close,Volume
0,2021-04-01,144.289993,157.649994,143.630005,157.330002,144.96579,11480500
1,2021-05-01,157.830002,161.429993,151.990005,160.699997,149.099472,13238200
2,2021-06-01,160.259995,172.330002,159.779999,168.419998,156.262177,13832600
3,2021-07-01,168.190002,196.440002,167.960007,193.100006,179.160599,11106700
4,2021-08-01,193.919998,195.809998,184.770004,192.369995,179.50177,11787500
5,2021-09-01,192.809998,197.5,183.710007,186.75,174.257736,10880100
6,2021-10-01,188.020004,207.690002,185.320007,204.210007,190.549774,8138700
7,2021-11-01,204.610001,211.970001,197.380005,206.25,193.464172,11740000
8,2021-12-01,207.320007,231.630005,201.220001,229.440002,215.216568,13823700
9,2022-01-01,229.429993,230.710007,193.910004,206.679993,193.867493,13562100
10,2022-02-01,206.889999,217.220001,197.100006,204.610001,192.89418,10957100
11,2022-03-01,206.149994,216.259995,202.399994,209.449997,197.457016,16768000
12,2022-04-01,210.669998,217.639999,196.080002,196.679993,185.418228,14506900
13,2022-05-01,197.630005,198.539993,171.380005,181.0,171.53476,15572000
14,2022-06-01,181.259995,182.160004,158.850006,174.669998,165.535782,14192700
15,2022-07-01,174.389999,187.029999,164.649994,185.729996,176.017395,11284400
16,2022-08-01,184.550003,190.169998,165.080002,165.669998,158.17746,12171900
17,2022-09-01,164.470001,174.199997,151.050003,155.070007,148.05687,14872900
18,2022-10-01,157.669998,160.699997,141.130005,157.449997,150.329224,19521900
19,2022-11-01,158.839996,164.940002,149.229996,164.880005,158.79097,11977100
20,2022-12-01,166.179993,168.729996,152.529999,156.990005,151.192352,12679600
21,2023-01-01,157.419998,167.050003,152.160004,166.720001,160.563004,14242000
22,2023-02-01,165.479996,176.360001,160.029999,160.100006,155.543411,15182800
23,2023-03-01,158.990005,161.570007,138.679993,151.039993,146.741272,18751800
24,2023-04-01,150.399994,154.610001,145.380005,153.800003,149.422714,13074700
25,2023-05-01,153.929993,155.039993,143.720001,147.059998,144.228333,12673100
26,2023-06-01,147.300003,156.470001,145.179993,151.860001,148.935913,12691900
27,2023-07-01,151.259995,158.460007,147.770004,149.660004,146.77829,11635400
28,2023-08-01,149.0,150.110001,140.649994,145.229996,143.712891,11778800
29,2023-09-01,145.899994,146.179993,127.93,128.649994,127.306091,12901300
30,2023-10-01,128.080002,134.699997,115.739998,118.150002,116.915787,17871100
31,2023-11-01,117.720001,126.529999,115.559998,122.220001,122.220001,17102500
32,2023-11-28,121.919998,124.559998,121.519997,123.989998,123.989998,1204216
