,Date,Health Care,High,Low,Close,Adj Close,Volume
0,2021-04-01,36.299999,39.669998,35.759998,38.650002,34.836029,558679000
1,2021-05-01,39.040001,41.09,37.959999,38.73,34.908138,615262500
2,2021-06-01,38.939999,40.720001,38.48,39.16,35.643494,485677900
3,2021-07-01,39.169998,43.740002,38.93,42.810001,38.965729,525510400
4,2021-08-01,43.299999,51.860001,43.25,46.07,42.312778,1008466500
5,2021-09-01,46.189999,47.5,42.43,43.009998,39.502335,544666400
6,2021-10-01,42.52,43.830002,40.939999,43.740002,40.172798,471555700
7,2021-11-01,44.139999,55.700001,43.049999,53.73,49.348072,1010245500
8,2021-12-01,52.470001,61.709999,50.400002,59.049999,54.710262,1064029400
9,2022-01-01,58.5,58.549999,49.82,52.689999,48.817669,778212000
10,2022-02-01,52.740002,54.130001,45.400002,46.939999,43.820919,634804800
11,2022-03-01,46.689999,55.299999,45.439999,51.77,48.329971,718106000
12,2022-04-01,52.119999,56.32,47.119999,49.07,45.809383,482896600
13,2022-05-01,47.68,54.919998,47.459999,53.040001,49.515579,583220400
14,2022-06-01,53.25,54.560001,46.279999,52.43,49.345268,449186100
15,2022-07-01,52.040001,53.919998,49.099998,50.509998,47.538235,340227500
16,2022-08-01,50.32,51.470001,45.130001,45.23,42.899197,411896600
17,2022-09-01,45.139999,48.349998,43.52,43.759998,41.504944,376670300
18,2022-10-01,44.07,47.52,41.450001,46.549999,44.151176,466825100
19,2022-11-01,48.0,50.130001,46.16,50.130001,47.546688,419484600
20,2022-12-01,50.310001,54.93,49.18,51.240002,49.016022,423156900
21,2023-01-01,51.009998,51.599998,42.700001,44.16,42.243313,522769000
22,2023-02-01,43.91,44.459999,40.09,40.57,39.165424,403988700
23,2023-03-01,40.560001,41.259998,39.23,40.799999,39.387459,504067700
24,2023-04-01,40.689999,42.220001,38.310001,38.889999,37.543583,387634200
25,2023-05-01,39.0,40.139999,36.169998,38.02,36.703701,678001500
26,2023-06-01,38.119999,40.369999,35.759998,36.68,35.793262,562599000
27,2023-07-01,36.5,37.799999,35.349998,36.060001,35.188255,441618300
28,2023-08-01,35.880001,37.189999,34.66,35.380001,34.90934,537100000
29,2023-09-01,35.639999,36.290001,31.77,33.169998,32.728737,554558100
30,2023-10-01,32.950001,34.110001,29.700001,30.559999,30.153458,681377500
31,2023-11-01,30.559999,31.41,28.93,30.139999,29.739046,506088100
32,2023-11-28,30.110001,30.120001,29.635,29.690001,29.690001,29092197
